ta,burglary
Kapiti Coast District,1512
Horowhenua District,2086
Tararua District,1737
Palmerston North City,2010
Manawatu District,1637
Rangitikei District,1247
Whanganui District,1838
Ruapehu District,1622
South Taranaki District,1279
Stratford District,1008
New Plymouth District,1058
Central Hawke's Bay District,1134
Napier City,2027
Hastings District,2368
Wairoa District,1788
Gisborne District,2303
Opotiki District,1853
Kawerau District,1585
Whakatane District,2037
Rotorua District,2453
Tauranga City,1301
Western Bay of Plenty District,1180
Taupo District,2027
Waitomo District,1840
South Waikato District,1380
Otorohanga District,1458
Waipa District,1132
Hamilton City,2164
Matamata-Piako District,2282
Waikato District,1912
Hauraki District,2489
Thames-Coromandel District,2255
Auckland,1344
Kaipara District,1542
Whangarei District,1861
Far North District,2209
Invercargill City,1164
Gore District,1534
Southland District,852
Clutha District,1197
Dunedin City,785
Queenstown-Lakes District,348
Central Otago District,576
Waitaki District,968
Waimate District,848
Mackenzie District,696
Timaru District,824
Ashburton District,1085
Selwyn District,644
Christchurch City,1620
Waimakariri District,826
Hurunui District,930
Westland District,1317
Grey District,1022
Buller District,1557
Kaikoura District,1102
Marlborough District,900
Nelson City,1342
Tasman District,928
South Wairarapa District,1834
Carterton District,1271
Masterton District,2143
Wellington City,951
Lower Hutt City,1593
Porirua City,1276
Upper Hutt City,1294
