ta,rates,sunshine,burglary,over65,health,property,overall
Marlborough District,36,3,10,3,41,10,1
Waimakariri District,21,25,7,19,8,32,2
Napier City,1,5,54,6,28,32,3
Timaru District,8,48,6,6,62,8,4
Whangarei District,4,22,51,11,25,28,5
New Plymouth District,23,28,17,14,51,9,6
Horowhenua District,3,41,57,5,32,5,7
Tauranga City,17,4,30,2,54,38,8
Waipa District,24,24,20,25,2,53,9
Kapiti Coast District,7,46,36,1,19,39,9
Thames-Coromandel District,19,20,61,4,2,43,11
Hastings District,11,26,64,22,27,6,12
Ashburton District,6,55,18,43,12,23,13
South Waikato District,29,19,34,54,2,19,13
Christchurch City,38,32,42,23,10,13,15
Dunedin City,27,62,5,20,45,3,16
Matamata-Piako District,18,12,62,24,1,50,17
Invercargill City,2,65,22,33,47,2,18
Hamilton City,33,18,59,32,2,27,18
Tasman District,50,9,11,6,42,56,20
Wellington City,64,17,13,34,13,37,21
Hurunui District,20,33,12,43,15,57,22
Central Otago District,34,36,2,16,45,47,22
Waitaki District,41,52,14,13,47,14,24
Nelson City,52,2,32,16,39,41,25
Upper Hutt City,5,43,29,47,37,23,26
Kaikoura District,30,20,19,40,9,66,26
Buller District,15,57,39,36,17,21,28
Lower Hutt City,25,31,41,30,36,25,29
Far North District,46,15,60,9,24,35,30
Grey District,22,59,16,50,18,26,31
Whanganui District,49,45,48,12,38,1,32
Waimate District,13,42,8,28,63,39,32
Auckland,62,16,33,27,26,36,34
Palmerston North City,31,44,53,36,34,4,35
Western Bay of Plenty District,51,7,23,9,54,59,36
Selwyn District,26,50,3,58,10,57,37
South Taranaki District,35,29,28,54,53,12,38
Masterton District,15,38,58,20,64,17,39
Manawatu District,28,37,44,40,35,28,39
Kaipara District,48,27,38,18,21,61,41
Gisborne District,59,6,63,47,31,7,41
Hauraki District,60,14,66,15,16,49,43
Central Hawke's Bay District,55,35,21,38,30,44,44
Tararua District,39,54,45,46,32,11,45
Opotiki District,9,10,50,52,54,54,46
Westland District,14,63,31,60,20,42,47
Rotorua District,45,11,65,34,60,18,48
Otorohanga District,37,39,35,66,6,51,49
Southland District,47,66,9,54,50,15,50
Gore District,32,61,37,38,43,30,50
Waikato District,44,23,52,49,21,55,52
Whakatane District,40,8,56,42,54,44,52
Rangitikei District,57,47,25,45,39,31,52
Porirua City,58,30,27,57,14,60,55
Wairoa District,54,12,46,60,29,52,56
South Wairarapa District,11,40,47,28,64,64,57
Kawerau District,63,1,40,51,54,46,58
Taupo District,61,34,54,26,59,21,58
Clutha District,53,64,24,52,47,16,60
Ruapehu District,56,60,43,62,21,20,61
Mackenzie District,10,58,4,64,61,65,61
Stratford District,42,49,15,59,52,48,63
Waitomo District,66,53,49,65,6,34,64
Carterton District,43,50,26,30,64,62,65
Queenstown-Lakes District,65,56,1,63,44,63,66
