ta,sales,price,total,value,rank
Whanganui District,13,8,21,3,1
Invercargill City,18,16,19,10,2
Dunedin City,3,29,4,28,3
Palmerston North City,10,28,10,19,4
Horowhenua District,12,21,22,17,5
Hastings District,9,34,13,30,6
Gisborne District,29,20,26,12,7
Timaru District,17,31,14,27,8
New Plymouth District,8,42,11,33,9
Marlborough District,15,37,16,29,10
Tararua District,45,3,49,1,11
South Taranaki District,39,9,42,9,12
Christchurch City,2,52,2,44,13
Waitaki District,27,23,35,20,14
Southland District,41,18,39,8,15
Clutha District,46,11,45,5,16
Masterton District,30,25,36,18,17
Rotorua District,23,31,20,37,18
South Waikato District,43,2,46,22,19
Ruapehu District,44,9,48,13,20
Taupo District,22,27,23,44,21
Buller District,57,7,50,2,21
Ashburton District,32,30,29,26,23
Upper Hutt City,21,40,24,32,23
Lower Hutt City,6,56,6,51,25
Grey District,55,12,43,11,26
Hamilton City,5,58,5,54,27
Whangarei District,15,51,8,49,28
Manawatu District,37,22,41,23,28
Gore District,49,15,55,6,30
Rangitikei District,52,5,53,16,31
Waimakariri District,24,43,25,35,32
Napier City,19,48,18,42,32
Waitomo District,61,4,63,3,34
Far North District,25,38,17,52,35
Auckland,1,65,1,65,35
Wellington City,4,64,3,64,37
Tauranga City,7,63,7,62,38
Kapiti Coast District,11,60,12,59,39
Waimate District,55,13,59,15,39
Nelson City,20,55,15,53,41
Westland District,63,24,52,6,42
Thames-Coromandel District,14,62,9,63,43
Whakatane District,40,39,34,38,44
Central Hawke's Bay District,51,17,58,25,44
Kawerau District,60,5,66,24,46
Central Otago District,35,44,37,41,47
Stratford District,58,18,61,21,48
Hauraki District,48,36,40,36,49
Matamata-Piako District,36,41,38,46,50
Otorohanga District,62,26,64,14,51
Wairoa District,66,1,54,48,52
Waipa District,26,57,31,56,53
Opotiki District,59,14,57,43,54
Waikato District,37,50,27,60,55
Tasman District,28,61,28,58,56
Selwyn District,33,53,47,47,57
Hurunui District,53,45,51,31,57
Western Bay of Plenty District,30,59,32,61,59
Porirua City,42,54,33,55,60
Kaipara District,50,35,44,57,61
Carterton District,53,33,62,39,62
Queenstown-Lakes District,33,66,30,66,63
South Wairarapa District,47,49,56,50,64
Mackenzie District,65,46,60,33,65
Kaikoura District,64,47,65,40,66
